GEO_ID,GEO_FIPS,NAME,S0601_C01_001E,S0601_C01_001M,S0601_C01_013E,S0601_C01_013M,S0601_C01_014E,S0601_C01_014M,S0601_C01_015E,S0601_C01_015M,S0601_C01_016E,S0601_C01_016M,S0601_C01_017E,S0601_C01_017M,S0601_C01_018E,S0601_C01_018M,S0601_C01_019E,S0601_C01_019M,S0601_C01_020E,S0601_C01_020M,S0601_C01_021E,S0601_C01_021M,S0601_C01_022E,S0601_C01_022M,S0601_C01_052E,S0601_C01_052M
1400000U,06037101110,Census Tract 1011.10; Los Angeles County; California,4152,441,81.2,6.4,57,6.9,3.5,2.7,0.1,0.4,7,3.8,0.1,0.4,13.4,5.4,18.8,6.4,34.4,5.6,53,6,7.4,(X)
1400000U,06037101122,Census Tract 1011.22; Los Angeles County; California,4198,852,93.3,3.6,72.6,7.5,0.6,0.7,0.6,1,13,4.8,0,1,6.6,3.6,6.7,3.6,9.8,3.8,72.3,7.5,6.5,(X)
1400000U,06037101220,Census Tract 1012.20; Los Angeles County; California,3434,446,81.8,9.1,49.6,9.4,0.3,0.4,2.5,2.8,14.3,6.5,0,1.2,15.1,8.1,18.2,9.1,38.2,8.5,44.2,8.3,13.8,(X)
1400000U,06037101221,Census Tract 1012.21; Los Angeles County; California,3931,618,81.6,8.1,46.7,10.9,3.8,2.1,0.7,1.2,9.9,4.5,0,1.1,20.5,8.2,18.4,8.1,36.3,10.5,43.9,11,3.2,(X)
1400000U,06037101222,Census Tract 1012.22; Los Angeles County; California,2572,397,63.8,13.6,55.1,13.1,0.5,1,3.1,5.2,2,2.1,1,1.7,2.1,2.8,36.2,13.6,49.5,12.7,46,12.4,13.8,(X)
1400000U,06037101300,Census Tract 1013; Los Angeles County; California,4210,470,90.1,3.8,76.1,6.3,1.6,1.7,0,1,5.4,2.2,0,1,7,5.6,9.9,3.8,15.6,4,72,6.3,5.5,(X)
1400000U,06037101400,Census Tract 1014; Los Angeles County; California,3489,526,81.9,6.9,67.1,7.5,1.7,2.2,0,1.2,9.5,2.2,0,1.2,3.7,5.5,18.1,6.9,21.2,5.6,63,6.2,9,(X)
1400000U,06037102103,Census Tract 1021.03; Los Angeles County; California,2054,525,97.6,2.3,82.1,9.3,2.5,2.8,0,2,11.7,8.4,0,2,1.3,1.2,2.4,2.3,5,3.5,79.1,9.1,8.7,(X)
1400000U,06037102104,Census Tract 1021.04; Los Angeles County; California,4052,559,88.3,4.2,72.8,7.4,1.5,1.1,0.6,0.8,11.6,5.1,0,1,1.8,2.4,11.7,4.2,13.1,3.2,69.6,7.7,10.5,(X)
1400000U,06037102105,Census Tract 1021.05; Los Angeles County; California,1664,333,64.6,15.2,26.6,9.7,1.3,1.8,1,1.6,9.7,5.8,0,2.5,26,11.7,35.4,15.2,65.9,8.2,18,7.4,9.5,(X)
1400000U,06037102107,Census Tract 1021.07; Los Angeles County; California,3595,645,89.3,4.9,75.6,7.2,0.6,0.6,0.8,1.3,7.4,4.8,0,1.2,4.8,3.2,10.7,4.9,16.9,7.6,71,8.5,17.3,(X)
1400000U,06037103101,Census Tract 1031.01; Los Angeles County; California,2705,323,84.2,6.1,71.8,7.1,0.7,0.8,0,0.1,7.8,5.1,0,1.6,3.8,1.9,15.8,6.1,21.7,8.4,64.9,9,8.2,(X)
1400000U,06037103102,Census Tract 1031.02; Los Angeles County; California,4468,554,91.9,4.7,73.4,8,0.3,0.5,0,0.9,7.8,3.9,0,0.9,10.5,5.1,8.1,4.7,23.3,6.7,65.1,8.2,15.8,(X)
1400000U,06037103201,Census Tract 1032.01; Los Angeles County; California,4425,463,76.9,10.9,57.6,12,3,2,1.3,1.9,7.3,5,0.1,0.2,7.6,6.3,23.1,10.9,37.8,9.4,51.3,10.2,13.3,(X)
1400000U,06037103202,Census Tract 1032.02; Los Angeles County; California,1945,645,95.2,4.4,57.1,19.8,1,1.6,0,2.2,2.3,1.9,0,2.2,34.9,21.6,4.8,4.4,20.6,8,53,18.6,25.7,(X)
1400000U,06037103300,Census Tract 1033; Los Angeles County; California,4021,572,82.3,7.9,73.6,10.4,2.5,3.5,0.4,0.7,4.6,2.9,0,1,1.1,1.4,17.7,7.9,12.2,5.5,72.6,10.3,4.4,(X)
1400000U,06037103401,Census Tract 1034.01; Los Angeles County; California,2552,405,86.8,6.7,67.2,11.8,0.2,0.3,0.6,0.8,17.2,10.1,0,1.6,1.6,1.8,13.2,6.7,12.1,6.1,66.6,12,5.7,(X)
1400000U,06037103402,Census Tract 1034.02; Los Angeles County; California,3809,588,89.6,6.6,60.9,10.8,12.5,8.8,0,1.1,9,6,0,1.1,7.2,4.9,10.4,6.6,15.3,6.5,59.1,10.4,9.8,(X)
1400000U,06037104103,Census Tract 1041.03; Los Angeles County; California,4257,867,61.9,14.8,20.7,8.9,13.6,8.3,1,1,5.4,3.2,0,1,21.3,8.6,38.1,14.8,71,9.2,6.3,2.7,25.1,(X)
1400000U,06037104105,Census Tract 1041.05; Los Angeles County; California,5890,771,65.8,8.9,20.7,7,5.1,3.4,0.7,0.7,1.7,1.8,0,0.7,37.6,10.4,34.2,8.9,79.6,6,3.7,2.3,10,(X)
